Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
Josh Jacobs,LVR,25,RB,12,12,220,771,6,33,46.8,63,3.5,64.3,3
Travis Etienne,JAX,24,RB,11,11,194,726,7,38,43.8,35,3.7,66.0,0
Christian McCaffrey,SFO,27,RB,11,11,193,939,11,56,53.9,65,4.9,85.4,3
Tony Pollard,DAL,26,RB,12,12,180,737,5,39,48.3,31,4.1,61.4,3
Derrick Henry,TEN,29,RB,11,11,176,739,6,38,48.3,63,4.2,67.2,0
Saquon Barkley,NYG,26,RB,9,9,165,697,1,31,38.8,36,4.2,77.4,1
Joe Mixon,CIN,27,RB,11,11,161,621,4,38,46.6,22,3.9,56.5,0
D'Andre Swift,PHI,24,RB,11,10,161,770,4,36,52.2,43,4.8,70.0,3
Alexander Mattison,MIN,25,RB,12,12,158,594,0,24,43.0,21,3.8,49.5,3
Isiah Pacheco,KAN,24,RB,11,10,158,669,5,40,51.3,48,4.2,60.8,0
Rachaad White,TAM,24,RB,11,11,156,559,4,28,38.5,38,3.6,50.8,1
James Cook,BUF,24,RB,12,8,153,731,1,36,54.9,42,4.8,60.9,2
Brian Robinson Jr.,WAS,24,RB,12,12,153,611,5,40,45.1,29,4.0,50.9,3
Raheem Mostert,MIA,31,RB,11,11,151,785,13,42,53.6,49,5.2,71.4,4
Kenneth Walker III,SEA,23,RB,10,10,149,613,6,28,46.3,45,4.1,61.3,0
Rhamondre Stevenson,NWE,25,RB,11,11,147,580,4,33,49.0,64,3.9,52.7,0
Jerome Ford,CLE,24,RB,11,7,145,628,3,24,40.0,69,4.3,57.1,1
Najee Harris,PIT,25,RB,11,11,143,598,4,30,44.8,25,4.2,54.4,1
Gus Edwards,BAL,28,RB,12,6,141,590,10,38,56.7,42,4.2,49.2,1
Zack Moss,IND,26,RB,10,5,141,672,5,34,48.2,56,4.8,67.2,0
Bijan Robinson,ATL,21,RB,11,10,141,703,3,38,45.4,38,5.0,63.9,2
Javonte Williams,DEN,23,RB,10,9,140,538,0,23,41.4,21,3.8,53.8,0
Tyler Allgeier,ATL,23,RB,11,2,135,466,3,29,46.7,22,3.5,42.4,0
David Montgomery,DET,26,RB,8,8,133,648,9,35,57.1,75,4.9,81.0,2
AJ Dillon,GNB,25,RB,11,4,131,448,1,23,49.6,40,3.4,40.7,0
Breece Hall,NYJ,22,RB,11,11,124,569,2,19,37.9,83,4.6,51.7,2
Devin Singletary,HOU,26,RB,11,4,120,489,2,19,47.5,22,4.1,44.5,0
Alvin Kamara,NOR,28,RB,8,8,119,457,2,27,48.7,17,3.8,57.1,0
Chuba Hubbard,CAR,24,RB,11,6,118,453,2,29,52.5,21,3.8,41.2,1
Jalen Hurts,PHI,25,QB,11,11,114,410,11,49,58.8,24,3.6,37.3,6
Dameon Pierce,HOU,23,RB,8,7,114,341,1,13,41.2,16,3.0,42.6,0
Kyren Williams,LAR,23,RB,7,6,113,599,6,32,61.9,56,5.3,85.6,1
Austin Ekeler,LAC,28,RB,8,8,112,428,4,18,42.9,55,3.8,53.5,3
Lamar Jackson,BAL,26,QB,12,12,112,574,5,36,52.7,26,5.1,47.8,11
Jahmyr Gibbs,DET,21,RB,9,3,109,566,5,25,44.0,35,5.2,62.9,0
James Conner,ARI,28,RB,8,8,104,526,2,26,47.1,35,5.1,65.8,0
Jonathan Taylor,IND,24,RB,7,5,100,414,4,24,50.0,42,4.1,59.1,0
Miles Sanders,CAR,26,RB,10,5,97,302,1,20,40.2,15,3.1,30.2,2
Ezekiel Elliott,NWE,28,RB,11,0,95,377,2,25,50.5,17,4.0,34.3,1
Jaylen Warren,PIT,25,RB,11,0,93,542,3,26,49.5,74,5.8,49.3,2
D'Onta Foreman,CHI,27,RB,7,6,92,381,4,22,56.5,22,4.1,54.4,1
Kareem Hunt,CLE,28,RB,9,2,89,286,6,26,47.2,16,3.2,31.8,0
Joshua Kelley,LAC,26,RB,11,3,88,360,2,19,44.3,49,4.1,32.7,0
Zach Charbonnet,SEA,22,RB,11,2,86,368,1,27,48.8,21,4.3,33.5,0
Justin Fields,CHI,24,QB,8,8,77,400,1,24,54.5,29,5.2,50.0,7
